text|en-US-AdamMultilingualNeural|en-US-AlloyTurboMultilingualNeural|en-US-AmberNeural|en-US-AnaNeural|en-US-AndrewMultilingualNeural|en-US-AndrewNeural|en-US-AvaMultilingualNeural|en-US-BrandonMultilingualNeural|en-US-BrianMultilingualNeural|en-US-ChristopherMultilingualNeural|en-US-CoraMultilingualNeural|en-US-DavisMultilingualNeural
Hey Nisha, are you free right now?|011_Hey_Nisha_are_you_free_right_now.mp3|011_Hey_Nisha_are_you_free_right_now.mp3|011_Hey_Nisha_are_you_free_right_now.mp3|011_Hey_Nisha_are_you_free_right_now.mp3|011_Hey_Nisha_are_you_free_right_now.mp3|011_Hey_Nisha_are_you_free_right_now.mp3|011_Hey_Nisha_are_you_free_right_now.mp3|011_Hey_Nisha_are_you_free_right_now.mp3|011_Hey_Nisha_are_you_free_right_now.mp3|011_Hey_Nisha_are_you_free_right_now.mp3|011_Hey_Nisha_are_you_free_right_now.mp3|011_Hey_Nisha_are_you_free_right_now.mp3
Nisha, do you want to grab some food?|012_Nisha_do_you_want_to_grab_some_food.mp3|012_Nisha_do_you_want_to_grab_some_food.mp3|012_Nisha_do_you_want_to_grab_some_food.mp3|012_Nisha_do_you_want_to_grab_some_food.mp3|012_Nisha_do_you_want_to_grab_some_food.mp3|012_Nisha_do_you_want_to_grab_some_food.mp3|012_Nisha_do_you_want_to_grab_some_food.mp3|012_Nisha_do_you_want_to_grab_some_food.mp3|012_Nisha_do_you_want_to_grab_some_food.mp3|012_Nisha_do_you_want_to_grab_some_food.mp3|012_Nisha_do_you_want_to_grab_some_food.mp3|012_Nisha_do_you_want_to_grab_some_food.mp3
I was just talking to Nisha yesterday.|013_I_was_just_talking_to_Nisha_yesterday.mp3|013_I_was_just_talking_to_Nisha_yesterday.mp3|013_I_was_just_talking_to_Nisha_yesterday.mp3|013_I_was_just_talking_to_Nisha_yesterday.mp3|013_I_was_just_talking_to_Nisha_yesterday.mp3|013_I_was_just_talking_to_Nisha_yesterday.mp3|013_I_was_just_talking_to_Nisha_yesterday.mp3|013_I_was_just_talking_to_Nisha_yesterday.mp3|013_I_was_just_talking_to_Nisha_yesterday.mp3|013_I_was_just_talking_to_Nisha_yesterday.mp3|013_I_was_just_talking_to_Nisha_yesterday.mp3|013_I_was_just_talking_to_Nisha_yesterday.mp3
By the way, Nisha, did you see that?|014_By_the_way_Nisha_did_you_see_that.mp3|014_By_the_way_Nisha_did_you_see_that.mp3|014_By_the_way_Nisha_did_you_see_that.mp3|014_By_the_way_Nisha_did_you_see_that.mp3|014_By_the_way_Nisha_did_you_see_that.mp3|014_By_the_way_Nisha_did_you_see_that.mp3|014_By_the_way_Nisha_did_you_see_that.mp3|014_By_the_way_Nisha_did_you_see_that.mp3|014_By_the_way_Nisha_did_you_see_that.mp3|014_By_the_way_Nisha_did_you_see_that.mp3|014_By_the_way_Nisha_did_you_see_that.mp3|014_By_the_way_Nisha_did_you_see_that.mp3
So Nisha, what do you think about this?|015_So_Nisha_what_do_you_think_about_this.mp3|015_So_Nisha_what_do_you_think_about_this.mp3|015_So_Nisha_what_do_you_think_about_this.mp3|015_So_Nisha_what_do_you_think_about_this.mp3|015_So_Nisha_what_do_you_think_about_this.mp3|015_So_Nisha_what_do_you_think_about_this.mp3|015_So_Nisha_what_do_you_think_about_this.mp3|015_So_Nisha_what_do_you_think_about_this.mp3|015_So_Nisha_what_do_you_think_about_this.mp3|015_So_Nisha_what_do_you_think_about_this.mp3|015_So_Nisha_what_do_you_think_about_this.mp3|015_So_Nisha_what_do_you_think_about_this.mp3
Nisha, are you coming with us?|016_Nisha_are_you_coming_with_us.mp3|016_Nisha_are_you_coming_with_us.mp3|016_Nisha_are_you_coming_with_us.mp3|016_Nisha_are_you_coming_with_us.mp3|016_Nisha_are_you_coming_with_us.mp3|016_Nisha_are_you_coming_with_us.mp3|016_Nisha_are_you_coming_with_us.mp3|016_Nisha_are_you_coming_with_us.mp3|016_Nisha_are_you_coming_with_us.mp3|016_Nisha_are_you_coming_with_us.mp3|016_Nisha_are_you_coming_with_us.mp3|016_Nisha_are_you_coming_with_us.mp3
Do you remember that, Nisha?|017_Do_you_remember_that_Nisha.mp3|017_Do_you_remember_that_Nisha.mp3|017_Do_you_remember_that_Nisha.mp3|017_Do_you_remember_that_Nisha.mp3|017_Do_you_remember_that_Nisha.mp3|017_Do_you_remember_that_Nisha.mp3|017_Do_you_remember_that_Nisha.mp3|017_Do_you_remember_that_Nisha.mp3|017_Do_you_remember_that_Nisha.mp3|017_Do_you_remember_that_Nisha.mp3|017_Do_you_remember_that_Nisha.mp3|017_Do_you_remember_that_Nisha.mp3
Nisha, I missed you!|018_Nisha_I_missed_you.mp3|018_Nisha_I_missed_you.mp3|018_Nisha_I_missed_you.mp3|018_Nisha_I_missed_you.mp3|018_Nisha_I_missed_you.mp3|018_Nisha_I_missed_you.mp3|018_Nisha_I_missed_you.mp3|018_Nisha_I_missed_you.mp3|018_Nisha_I_missed_you.mp3|018_Nisha_I_missed_you.mp3|018_Nisha_I_missed_you.mp3|018_Nisha_I_missed_you.mp3
Can we talk later, Nisha?|019_Can_we_talk_later_Nisha.mp3|019_Can_we_talk_later_Nisha.mp3|019_Can_we_talk_later_Nisha.mp3|019_Can_we_talk_later_Nisha.mp3|019_Can_we_talk_later_Nisha.mp3|019_Can_we_talk_later_Nisha.mp3|019_Can_we_talk_later_Nisha.mp3|019_Can_we_talk_later_Nisha.mp3|019_Can_we_talk_later_Nisha.mp3|019_Can_we_talk_later_Nisha.mp3|019_Can_we_talk_later_Nisha.mp3|019_Can_we_talk_later_Nisha.mp3
Hey Nisha, guess what happened today?|020_Hey_Nisha_guess_what_happened_today.mp3|020_Hey_Nisha_guess_what_happened_today.mp3|020_Hey_Nisha_guess_what_happened_today.mp3|020_Hey_Nisha_guess_what_happened_today.mp3|020_Hey_Nisha_guess_what_happened_today.mp3|020_Hey_Nisha_guess_what_happened_today.mp3|020_Hey_Nisha_guess_what_happened_today.mp3|020_Hey_Nisha_guess_what_happened_today.mp3|020_Hey_Nisha_guess_what_happened_today.mp3|020_Hey_Nisha_guess_what_happened_today.mp3|020_Hey_Nisha_guess_what_happened_today.mp3|020_Hey_Nisha_guess_what_happened_today.mp3
Nisha, can you tell me the time?|021_Nisha_can_you_tell_me_the_time.mp3|021_Nisha_can_you_tell_me_the_time.mp3|021_Nisha_can_you_tell_me_the_time.mp3|021_Nisha_can_you_tell_me_the_time.mp3|021_Nisha_can_you_tell_me_the_time.mp3|021_Nisha_can_you_tell_me_the_time.mp3|021_Nisha_can_you_tell_me_the_time.mp3|021_Nisha_can_you_tell_me_the_time.mp3|021_Nisha_can_you_tell_me_the_time.mp3|021_Nisha_can_you_tell_me_the_time.mp3|021_Nisha_can_you_tell_me_the_time.mp3|021_Nisha_can_you_tell_me_the_time.mp3
What do you think, Nisha?|022_What_do_you_think_Nisha.mp3|022_What_do_you_think_Nisha.mp3|022_What_do_you_think_Nisha.mp3|022_What_do_you_think_Nisha.mp3|022_What_do_you_think_Nisha.mp3|022_What_do_you_think_Nisha.mp3|022_What_do_you_think_Nisha.mp3|022_What_do_you_think_Nisha.mp3|022_What_do_you_think_Nisha.mp3|022_What_do_you_think_Nisha.mp3|022_What_do_you_think_Nisha.mp3|022_What_do_you_think_Nisha.mp3
Are you okay, Nisha?|023_Are_you_okay_Nisha.mp3|023_Are_you_okay_Nisha.mp3|023_Are_you_okay_Nisha.mp3|023_Are_you_okay_Nisha.mp3|023_Are_you_okay_Nisha.mp3|023_Are_you_okay_Nisha.mp3|023_Are_you_okay_Nisha.mp3|023_Are_you_okay_Nisha.mp3|023_Are_you_okay_Nisha.mp3|023_Are_you_okay_Nisha.mp3|023_Are_you_okay_Nisha.mp3|023_Are_you_okay_Nisha.mp3
Nisha, do you know the answer?|024_Nisha_do_you_know_the_answer.mp3|024_Nisha_do_you_know_the_answer.mp3|024_Nisha_do_you_know_the_answer.mp3|024_Nisha_do_you_know_the_answer.mp3|024_Nisha_do_you_know_the_answer.mp3|024_Nisha_do_you_know_the_answer.mp3|024_Nisha_do_you_know_the_answer.mp3|024_Nisha_do_you_know_the_answer.mp3|024_Nisha_do_you_know_the_answer.mp3|024_Nisha_do_you_know_the_answer.mp3|024_Nisha_do_you_know_the_answer.mp3|024_Nisha_do_you_know_the_answer.mp3
Can you hear me, Nisha?|025_Can_you_hear_me_Nisha.mp3|025_Can_you_hear_me_Nisha.mp3|025_Can_you_hear_me_Nisha.mp3|025_Can_you_hear_me_Nisha.mp3|025_Can_you_hear_me_Nisha.mp3|025_Can_you_hear_me_Nisha.mp3|025_Can_you_hear_me_Nisha.mp3|025_Can_you_hear_me_Nisha.mp3|025_Can_you_hear_me_Nisha.mp3|025_Can_you_hear_me_Nisha.mp3|025_Can_you_hear_me_Nisha.mp3|025_Can_you_hear_me_Nisha.mp3
Where are you, Nisha?|026_Where_are_you_Nisha.mp3|026_Where_are_you_Nisha.mp3|026_Where_are_you_Nisha.mp3|026_Where_are_you_Nisha.mp3|026_Where_are_you_Nisha.mp3|026_Where_are_you_Nisha.mp3|026_Where_are_you_Nisha.mp3|026_Where_are_you_Nisha.mp3|026_Where_are_you_Nisha.mp3|026_Where_are_you_Nisha.mp3|026_Where_are_you_Nisha.mp3|026_Where_are_you_Nisha.mp3
Nisha, have you finished it yet?|027_Nisha_have_you_finished_it_yet.mp3|027_Nisha_have_you_finished_it_yet.mp3|027_Nisha_have_you_finished_it_yet.mp3|027_Nisha_have_you_finished_it_yet.mp3|027_Nisha_have_you_finished_it_yet.mp3|027_Nisha_have_you_finished_it_yet.mp3|027_Nisha_have_you_finished_it_yet.mp3|027_Nisha_have_you_finished_it_yet.mp3|027_Nisha_have_you_finished_it_yet.mp3|027_Nisha_have_you_finished_it_yet.mp3|027_Nisha_have_you_finished_it_yet.mp3|027_Nisha_have_you_finished_it_yet.mp3
Is everything fine, Nisha?|028_Is_everything_fine_Nisha.mp3|028_Is_everything_fine_Nisha.mp3|028_Is_everything_fine_Nisha.mp3|028_Is_everything_fine_Nisha.mp3|028_Is_everything_fine_Nisha.mp3|028_Is_everything_fine_Nisha.mp3|028_Is_everything_fine_Nisha.mp3|028_Is_everything_fine_Nisha.mp3|028_Is_everything_fine_Nisha.mp3|028_Is_everything_fine_Nisha.mp3|028_Is_everything_fine_Nisha.mp3|028_Is_everything_fine_Nisha.mp3
Nisha, could you help me?|029_Nisha_could_you_help_me.mp3|029_Nisha_could_you_help_me.mp3|029_Nisha_could_you_help_me.mp3|029_Nisha_could_you_help_me.mp3|029_Nisha_could_you_help_me.mp3|029_Nisha_could_you_help_me.mp3|029_Nisha_could_you_help_me.mp3|029_Nisha_could_you_help_me.mp3|029_Nisha_could_you_help_me.mp3|029_Nisha_could_you_help_me.mp3|029_Nisha_could_you_help_me.mp3|029_Nisha_could_you_help_me.mp3
Why are you laughing, Nisha?|030_Why_are_you_laughing_Nisha.mp3|030_Why_are_you_laughing_Nisha.mp3|030_Why_are_you_laughing_Nisha.mp3|030_Why_are_you_laughing_Nisha.mp3|030_Why_are_you_laughing_Nisha.mp3|030_Why_are_you_laughing_Nisha.mp3|030_Why_are_you_laughing_Nisha.mp3|030_Why_are_you_laughing_Nisha.mp3|030_Why_are_you_laughing_Nisha.mp3|030_Why_are_you_laughing_Nisha.mp3|030_Why_are_you_laughing_Nisha.mp3|030_Why_are_you_laughing_Nisha.mp3
Nisha, play my favorite song.|031_Nisha_play_my_favorite_song.mp3|031_Nisha_play_my_favorite_song.mp3|031_Nisha_play_my_favorite_song.mp3|031_Nisha_play_my_favorite_song.mp3|031_Nisha_play_my_favorite_song.mp3|031_Nisha_play_my_favorite_song.mp3|031_Nisha_play_my_favorite_song.mp3|031_Nisha_play_my_favorite_song.mp3|031_Nisha_play_my_favorite_song.mp3|031_Nisha_play_my_favorite_song.mp3|031_Nisha_play_my_favorite_song.mp3|031_Nisha_play_my_favorite_song.mp3
Please open the window, Nisha.|032_Please_open_the_window_Nisha.mp3|032_Please_open_the_window_Nisha.mp3|032_Please_open_the_window_Nisha.mp3|032_Please_open_the_window_Nisha.mp3|032_Please_open_the_window_Nisha.mp3|032_Please_open_the_window_Nisha.mp3|032_Please_open_the_window_Nisha.mp3|032_Please_open_the_window_Nisha.mp3|032_Please_open_the_window_Nisha.mp3|032_Please_open_the_window_Nisha.mp3|032_Please_open_the_window_Nisha.mp3|032_Please_open_the_window_Nisha.mp3
Nisha, remind me about the meeting tomorrow.|033_Nisha_remind_me_about_the_meeting_tomorrow.mp3|033_Nisha_remind_me_about_the_meeting_tomorrow.mp3|033_Nisha_remind_me_about_the_meeting_tomorrow.mp3|033_Nisha_remind_me_about_the_meeting_tomorrow.mp3|033_Nisha_remind_me_about_the_meeting_tomorrow.mp3|033_Nisha_remind_me_about_the_meeting_tomorrow.mp3|033_Nisha_remind_me_about_the_meeting_tomorrow.mp3|033_Nisha_remind_me_about_the_meeting_tomorrow.mp3|033_Nisha_remind_me_about_the_meeting_tomorrow.mp3|033_Nisha_remind_me_about_the_meeting_tomorrow.mp3|033_Nisha_remind_me_about_the_meeting_tomorrow.mp3|033_Nisha_remind_me_about_the_meeting_tomorrow.mp3
Call mom for me, Nisha.|034_Call_mom_for_me_Nisha.mp3|034_Call_mom_for_me_Nisha.mp3|034_Call_mom_for_me_Nisha.mp3|034_Call_mom_for_me_Nisha.mp3|034_Call_mom_for_me_Nisha.mp3|034_Call_mom_for_me_Nisha.mp3|034_Call_mom_for_me_Nisha.mp3|034_Call_mom_for_me_Nisha.mp3|034_Call_mom_for_me_Nisha.mp3|034_Call_mom_for_me_Nisha.mp3|034_Call_mom_for_me_Nisha.mp3|034_Call_mom_for_me_Nisha.mp3
Nisha, switch off the lights.|035_Nisha_switch_off_the_lights.mp3|035_Nisha_switch_off_the_lights.mp3|035_Nisha_switch_off_the_lights.mp3|035_Nisha_switch_off_the_lights.mp3|035_Nisha_switch_off_the_lights.mp3|035_Nisha_switch_off_the_lights.mp3|035_Nisha_switch_off_the_lights.mp3|035_Nisha_switch_off_the_lights.mp3|035_Nisha_switch_off_the_lights.mp3|035_Nisha_switch_off_the_lights.mp3|035_Nisha_switch_off_the_lights.mp3|035_Nisha_switch_off_the_lights.mp3
Send that message, Nisha.|036_Send_that_message_Nisha.mp3|036_Send_that_message_Nisha.mp3|036_Send_that_message_Nisha.mp3|036_Send_that_message_Nisha.mp3|036_Send_that_message_Nisha.mp3|036_Send_that_message_Nisha.mp3|036_Send_that_message_Nisha.mp3|036_Send_that_message_Nisha.mp3|036_Send_that_message_Nisha.mp3|036_Send_that_message_Nisha.mp3|036_Send_that_message_Nisha.mp3|036_Send_that_message_Nisha.mp3
Nisha, search the internet for this.|037_Nisha_search_the_internet_for_this.mp3|037_Nisha_search_the_internet_for_this.mp3|037_Nisha_search_the_internet_for_this.mp3|037_Nisha_search_the_internet_for_this.mp3|037_Nisha_search_the_internet_for_this.mp3|037_Nisha_search_the_internet_for_this.mp3|037_Nisha_search_the_internet_for_this.mp3|037_Nisha_search_the_internet_for_this.mp3|037_Nisha_search_the_internet_for_this.mp3|037_Nisha_search_the_internet_for_this.mp3|037_Nisha_search_the_internet_for_this.mp3|037_Nisha_search_the_internet_for_this.mp3
Book a cab, Nisha.|038_Book_a_cab_Nisha.mp3|038_Book_a_cab_Nisha.mp3|038_Book_a_cab_Nisha.mp3|038_Book_a_cab_Nisha.mp3|038_Book_a_cab_Nisha.mp3|038_Book_a_cab_Nisha.mp3|038_Book_a_cab_Nisha.mp3|038_Book_a_cab_Nisha.mp3|038_Book_a_cab_Nisha.mp3|038_Book_a_cab_Nisha.mp3|038_Book_a_cab_Nisha.mp3|038_Book_a_cab_Nisha.mp3
Nisha, take a note for me.|039_Nisha_take_a_note_for_me.mp3|039_Nisha_take_a_note_for_me.mp3|039_Nisha_take_a_note_for_me.mp3|039_Nisha_take_a_note_for_me.mp3|039_Nisha_take_a_note_for_me.mp3|039_Nisha_take_a_note_for_me.mp3|039_Nisha_take_a_note_for_me.mp3|039_Nisha_take_a_note_for_me.mp3|039_Nisha_take_a_note_for_me.mp3|039_Nisha_take_a_note_for_me.mp3|039_Nisha_take_a_note_for_me.mp3|039_Nisha_take_a_note_for_me.mp3
Set an alarm, Nisha.|040_Set_an_alarm_Nisha.mp3|040_Set_an_alarm_Nisha.mp3|040_Set_an_alarm_Nisha.mp3|040_Set_an_alarm_Nisha.mp3|040_Set_an_alarm_Nisha.mp3|040_Set_an_alarm_Nisha.mp3|040_Set_an_alarm_Nisha.mp3|040_Set_an_alarm_Nisha.mp3|040_Set_an_alarm_Nisha.mp3|040_Set_an_alarm_Nisha.mp3|040_Set_an_alarm_Nisha.mp3|040_Set_an_alarm_Nisha.mp3
I think Nisha is really good at this.|041_I_think_Nisha_is_really_good_at_this.mp3|041_I_think_Nisha_is_really_good_at_this.mp3|041_I_think_Nisha_is_really_good_at_this.mp3|041_I_think_Nisha_is_really_good_at_this.mp3|041_I_think_Nisha_is_really_good_at_this.mp3|041_I_think_Nisha_is_really_good_at_this.mp3|041_I_think_Nisha_is_really_good_at_this.mp3|041_I_think_Nisha_is_really_good_at_this.mp3|041_I_think_Nisha_is_really_good_at_this.mp3|041_I_think_Nisha_is_really_good_at_this.mp3|041_I_think_Nisha_is_really_good_at_this.mp3|041_I_think_Nisha_is_really_good_at_this.mp3
Yesterday, I met Nisha at the park.|042_Yesterday_I_met_Nisha_at_the_park.mp3|042_Yesterday_I_met_Nisha_at_the_park.mp3|042_Yesterday_I_met_Nisha_at_the_park.mp3|042_Yesterday_I_met_Nisha_at_the_park.mp3|042_Yesterday_I_met_Nisha_at_the_park.mp3|042_Yesterday_I_met_Nisha_at_the_park.mp3|042_Yesterday_I_met_Nisha_at_the_park.mp3|042_Yesterday_I_met_Nisha_at_the_park.mp3|042_Yesterday_I_met_Nisha_at_the_park.mp3|042_Yesterday_I_met_Nisha_at_the_park.mp3|042_Yesterday_I_met_Nisha_at_the_park.mp3|042_Yesterday_I_met_Nisha_at_the_park.mp3
Nisha was the one who told me about it.|043_Nisha_was_the_one_who_told_me_about_it.mp3|043_Nisha_was_the_one_who_told_me_about_it.mp3|043_Nisha_was_the_one_who_told_me_about_it.mp3|043_Nisha_was_the_one_who_told_me_about_it.mp3|043_Nisha_was_the_one_who_told_me_about_it.mp3|043_Nisha_was_the_one_who_told_me_about_it.mp3|043_Nisha_was_the_one_who_told_me_about_it.mp3|043_Nisha_was_the_one_who_told_me_about_it.mp3|043_Nisha_was_the_one_who_told_me_about_it.mp3|043_Nisha_was_the_one_who_told_me_about_it.mp3|043_Nisha_was_the_one_who_told_me_about_it.mp3|043_Nisha_was_the_one_who_told_me_about_it.mp3
Everyone likes Nisha in the office.|044_Everyone_likes_Nisha_in_the_office.mp3|044_Everyone_likes_Nisha_in_the_office.mp3|044_Everyone_likes_Nisha_in_the_office.mp3|044_Everyone_likes_Nisha_in_the_office.mp3|044_Everyone_likes_Nisha_in_the_office.mp3|044_Everyone_likes_Nisha_in_the_office.mp3|044_Everyone_likes_Nisha_in_the_office.mp3|044_Everyone_likes_Nisha_in_the_office.mp3|044_Everyone_likes_Nisha_in_the_office.mp3|044_Everyone_likes_Nisha_in_the_office.mp3|044_Everyone_likes_Nisha_in_the_office.mp3|044_Everyone_likes_Nisha_in_the_office.mp3
I believe Nisha can handle it.|045_I_believe_Nisha_can_handle_it.mp3|045_I_believe_Nisha_can_handle_it.mp3|045_I_believe_Nisha_can_handle_it.mp3|045_I_believe_Nisha_can_handle_it.mp3|045_I_believe_Nisha_can_handle_it.mp3|045_I_believe_Nisha_can_handle_it.mp3|045_I_believe_Nisha_can_handle_it.mp3|045_I_believe_Nisha_can_handle_it.mp3|045_I_believe_Nisha_can_handle_it.mp3|045_I_believe_Nisha_can_handle_it.mp3|045_I_believe_Nisha_can_handle_it.mp3|045_I_believe_Nisha_can_handle_it.mp3
The teacher asked Nisha to answer.|046_The_teacher_asked_Nisha_to_answer.mp3|046_The_teacher_asked_Nisha_to_answer.mp3|046_The_teacher_asked_Nisha_to_answer.mp3|046_The_teacher_asked_Nisha_to_answer.mp3|046_The_teacher_asked_Nisha_to_answer.mp3|046_The_teacher_asked_Nisha_to_answer.mp3|046_The_teacher_asked_Nisha_to_answer.mp3|046_The_teacher_asked_Nisha_to_answer.mp3|046_The_teacher_asked_Nisha_to_answer.mp3|046_The_teacher_asked_Nisha_to_answer.mp3|046_The_teacher_asked_Nisha_to_answer.mp3|046_The_teacher_asked_Nisha_to_answer.mp3
We should thank Nisha for the help.|047_We_should_thank_Nisha_for_the_help.mp3|047_We_should_thank_Nisha_for_the_help.mp3|047_We_should_thank_Nisha_for_the_help.mp3|047_We_should_thank_Nisha_for_the_help.mp3|047_We_should_thank_Nisha_for_the_help.mp3|047_We_should_thank_Nisha_for_the_help.mp3|047_We_should_thank_Nisha_for_the_help.mp3|047_We_should_thank_Nisha_for_the_help.mp3|047_We_should_thank_Nisha_for_the_help.mp3|047_We_should_thank_Nisha_for_the_help.mp3|047_We_should_thank_Nisha_for_the_help.mp3|047_We_should_thank_Nisha_for_the_help.mp3
Nisha is always on time.|048_Nisha_is_always_on_time.mp3|048_Nisha_is_always_on_time.mp3|048_Nisha_is_always_on_time.mp3|048_Nisha_is_always_on_time.mp3|048_Nisha_is_always_on_time.mp3|048_Nisha_is_always_on_time.mp3|048_Nisha_is_always_on_time.mp3|048_Nisha_is_always_on_time.mp3|048_Nisha_is_always_on_time.mp3|048_Nisha_is_always_on_time.mp3|048_Nisha_is_always_on_time.mp3|048_Nisha_is_always_on_time.mp3
They said Nisha did a great job.|049_They_said_Nisha_did_a_great_job.mp3|049_They_said_Nisha_did_a_great_job.mp3|049_They_said_Nisha_did_a_great_job.mp3|049_They_said_Nisha_did_a_great_job.mp3|049_They_said_Nisha_did_a_great_job.mp3|049_They_said_Nisha_did_a_great_job.mp3|049_They_said_Nisha_did_a_great_job.mp3|049_They_said_Nisha_did_a_great_job.mp3|049_They_said_Nisha_did_a_great_job.mp3|049_They_said_Nisha_did_a_great_job.mp3|049_They_said_Nisha_did_a_great_job.mp3|049_They_said_Nisha_did_a_great_job.mp3
I know Nisha very well.|050_I_know_Nisha_very_well.mp3|050_I_know_Nisha_very_well.mp3|050_I_know_Nisha_very_well.mp3|050_I_know_Nisha_very_well.mp3|050_I_know_Nisha_very_well.mp3|050_I_know_Nisha_very_well.mp3|050_I_know_Nisha_very_well.mp3|050_I_know_Nisha_very_well.mp3|050_I_know_Nisha_very_well.mp3|050_I_know_Nisha_very_well.mp3|050_I_know_Nisha_very_well.mp3|050_I_know_Nisha_very_well.mp3
